"last_name, first_name",Handedness (batting),player_id,Year,Ab,Pa,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,xba,Xslg,woba,Xwoba,avg_swing_speed,exit_velocity_avg,laungh_angle_avg,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,batted_ball,f_strike_percent,groundballs_percent,linedrives_percent
"Martinez, J.D.",Right,502110,2024,415,472,16,137,29,9.7,0.239,0.414,0.321,0.735,0.259,0.488,0.322,0.355,72.9,91,14.9,40,15.4,45.7,101.4338445,95.179287563,31.7,48.7,280,64.2,38.6,23.2
"Hoskins, Rhys",Right,656555,2024,421,483,24,135,28,10.1,0.209,0.406,0.297,0.703,0.204,0.399,0.306,0.304,71.2,88.5,21,28.4,12.3,42.3,99.71247274,94.04470433,26.6,42.9,292,62.4,33.6,18.8
"Gelof, Zack",Right,680869,2024,464,510,17,172,33.7,7.1,0.216,0.375,0.276,0.651,0.203,0.361,0.284,0.277,71.7,89,14.2,33.9,9.1,36.9,98.761094658,93.483732158,36.5,51.2,298,65.1,44,22.1
"O'Hoppe, Logan",Right,681351,2024,449,488,19,146,29.9,5.9,0.236,0.399,0.294,0.693,0.254,0.465,0.302,0.333,70.7,90.4,14.8,41.6,11.8,46.2,101.242561382,95.070309605,33,52.1,305,63.7,39.7,25.6
"Cowser, Colton",Left,681297,2024,460,519,20,158,30.4,9.4,0.243,0.437,0.324,0.761,0.234,0.436,0.329,0.327,73.7,90.1,12.6,32.5,13.1,45.6,101.598464248,95.213490754,30.4,44.6,305,57.8,43.6,23.6
"Riley, Austin",Right,663586,2024,425,469,19,118,25.2,7.9,0.256,0.461,0.322,0.783,0.272,0.517,0.338,0.366,75.2,93.3,15.9,37.2,14.9,53.4,103.77151961,96.882758664,27.5,50.1,309,62.9,36.2,26.9
"Ramos, Heliot",Right,671218,2024,436,476,21,128,26.9,7.1,0.266,0.468,0.319,0.787,0.251,0.493,0.336,0.340,75.2,91.2,10.4,34.3,15.1,47.3,102.743154968,95.899608548,29.2,50.5,312,60.5,43.6,23.4
"Ortiz, Joey",Right,687401,2024,404,472,10,92,19.5,11.7,0.240,0.399,0.336,0.735,0.235,0.348,0.323,0.310,73.4,88,10.8,27,4.7,39.2,99.539323205,93.854241474,17.1,39.7,319,58.9,47.6,21.3
"Winker, Jesse",Left,608385,2024,420,495,14,105,21.2,12.3,0.260,0.414,0.363,0.777,0.250,0.394,0.342,0.332,69.6,88.9,13.3,30.6,7.8,38.1,99.066376266,93.696764571,19.9,43.1,320,61.9,46.6,23.1
"Stephenson, Tyler",Right,663886,2024,424,477,18,105,22,9.2,0.262,0.450,0.340,0.790,0.244,0.405,0.342,0.321,70.8,90.2,10.6,32.1,9,43,100.17061,94.480797688,22.3,43,321,62.5,48.6,20.9
